Word,Source,Meaning
පොහොත්,Only in Brahmi Dic,
බ,Only in Brahmi Dic,
බක,Only in Brahmi Dic,
බකිනිය,Only in Brahmi Dic,
බකිනෙය,Only in Brahmi Dic,
බකුල,Only in Brahmi Dic,
බගදෙවහ,Only in Brahmi Dic,
බගිනයතිශහ,Only in Brahmi Dic,
බගිනි,Only in Brahmi Dic,
බගු,Only in Brahmi Dic,
බඩකරක,Only in Brahmi Dic,
බඩකරි,Only in Brahmi Dic,
බඩගරික,Only in Brahmi Dic,
බඩිහර,Only in Brahmi Dic,
බණගමික,Only in Brahmi Dic,
බතගු,Only in Brahmi Dic,
බතර,Only in Brahmi Dic,
බතශනගරශි,Only in Brahmi Dic,
බතිකන,Only in Brahmi Dic,
බතිකශ,Only in Brahmi Dic,
බතිකෙ,Only in Brahmi Dic,
බතිය,Only in Brahmi Dic,
බතුනො,Only in Brahmi Dic,
බද,Only in Brahmi Dic,
බදත,Only in Brahmi Dic,
බදය,Only in Brahmi Dic,
බමණහ,Only in Brahmi Dic,
බමතියශ,Only in Brahmi Dic,
බමදත,Only in Brahmi Dic,
බමදතශ,Only in Brahmi Dic,
බමලි,Only in Brahmi Dic,
බරණිගුතහ,Only in Brahmi Dic,
බරණිය,Only in Brahmi Dic,
බරියය,Only in Brahmi Dic,
බරුකචග,Only in Brahmi Dic,
බලගුතහ,Only in Brahmi Dic,
බහිකෙ,Only in Brahmi Dic,
බාණක,Only in Brahmi Dic,
බැති,Only in Brahmi Dic,
බුඣිකෙ,Only in Brahmi Dic,
බුතදතය,Only in Brahmi Dic,
බුතදතහ,Only in Brahmi Dic,
බුතෙය,Only in Brahmi Dic,
බුදරකිතහ,Only in Brahmi Dic,
බුමි,Only in Brahmi Dic,
බුමික,Only in Brahmi Dic,
බුමිදිනෙ,Only in Brahmi Dic,
බුයුත,Only in Brahmi Dic,
බෙණ,Only in Brahmi Dic,
බොඣක,Only in Brahmi Dic,
භත,Only in Brahmi Dic,
භතික,Only in Brahmi Dic,
භිකු,Only in Brahmi Dic,
භිඛු,Only in Brahmi Dic,
භොජකටකස,Only in Brahmi Dic,
භොජික,Only in Brahmi Dic,
මකහ,Only in Brahmi Dic,
මකිය,Only in Brahmi Dic,
මග,Only in Brahmi Dic,
මගහ,Only in Brahmi Dic,
මච,Only in Brahmi Dic,
මචක,Only in Brahmi Dic,
මචකය,Only in Brahmi Dic,
මචු,Only in Brahmi Dic,
මචුඩි,Only in Brahmi Dic,
මචුඩික,Only in Brahmi Dic,
මජක,Only in Brahmi Dic,
මජිමහ,Only in Brahmi Dic,
මඣි,Only in Brahmi Dic,
මඣිමයශ,Only in Brahmi Dic,
මඣිමශ,Only in Brahmi Dic,
මටිකවිලිපි,Only in Brahmi Dic,
මටිග,Only in Brahmi Dic,
මටුක,Only in Brahmi Dic,
මඩකෙ,Only in Brahmi Dic,
මඩුකශලිය,Only in Brahmi Dic,
මණල,Only in Brahmi Dic,
මණවණ,Only in Brahmi Dic,
මණි,Only in Brahmi Dic,
මතමත,Only in Brahmi Dic,
මතය,Only in Brahmi Dic,
මතයහ,Only in Brahmi Dic,
මතුලානිය,Only in Brahmi Dic,
මදලයහ,Only in Brahmi Dic,
මනප,Only in Brahmi Dic,
මනපදසනෙ,Only in Brahmi Dic,
මනලිකචිය,Only in Brahmi Dic,
මනාපදශනෙ,Only in Brahmi Dic,
මනොරමේ,Only in Brahmi Dic,
මපිත,Only in Brahmi Dic,
මයාවිය,Only in Brahmi Dic,
මරගම,Only in Brahmi Dic,
මරුමකනක,Only in Brahmi Dic,
මරුමකනකහ,Only in Brahmi Dic,
මරුමකනකෙ,Only in Brahmi Dic,
මරුමකනහ,Only in Brahmi Dic,
මරුමකනෙ,Only in Brahmi Dic,
මරුමනක,Only in Brahmi Dic,
මලයහපුත,Only in Brahmi Dic,
මලහ,Only in Brahmi Dic,
මලි,Only in Brahmi Dic,
මලිගමික,Only in Brahmi Dic,
මලුගමෙ,Only in Brahmi Dic,
මලුහ,Only in Brahmi Dic,
මලෙය,Only in Brahmi Dic,
මවිත,Only in Brahmi Dic,
මවිතෙ,Only in Brahmi Dic,
මහගණක,Only in Brahmi Dic,
මහගමෙ,Only in Brahmi Dic,
මහගුතහ,Only in Brahmi Dic,
මහචුලක,Only in Brahmi Dic,
මහත,Only in Brahmi Dic,
මහතිශයෙ,Only in Brahmi Dic,
මහතිශශ,Only in Brahmi Dic,
මහතිසහ,Only in Brahmi Dic,
මහදත,Only in Brahmi Dic,
මහනකළහ,Only in Brahmi Dic,
මහනගය,Only in Brahmi Dic,
මහපුගියන,Only in Brahmi Dic,
මහපුශ,Only in Brahmi Dic,
මහබුතයහ,Only in Brahmi Dic,
මහමත,Only in Brahmi Dic,
මහයශ,Only in Brahmi Dic,
මහයහ,Only in Brahmi Dic,
මහරක,Only in Brahmi Dic,
මහරජ,Only in Brahmi Dic,
මහරජශ,Only in Brahmi Dic,
මහරඣස,Only in Brahmi Dic,
මහරඣෙ,Only in Brahmi Dic,
මහරෙතහ,Only in Brahmi Dic,
මහලෙණ,Only in Brahmi Dic,
මහලෙණෙ,Only in Brahmi Dic,
මහලෙණ‌ෙ,Only in Brahmi Dic,
මහශ,Only in Brahmi Dic,
මහශිවහ,Only in Brahmi Dic,
මහශුදසනෙ,Only in Brahmi Dic,
මහශුමනශ,Only in Brahmi Dic,
මහශෙනහ,Only in Brahmi Dic,
මහසහුදශනෙ,Only in Brahmi Dic,
මහසිවයහ,Only in Brahmi Dic,
මහිද,Only in Brahmi Dic,
මළ,Only in Brahmi Dic,
මිටියමුත,Only in Brahmi Dic,
මිතපල,Only in Brahmi Dic,
මිතපලශ,Only in Brahmi Dic,
මිතය,Only in Brahmi Dic,
මිතශෙනශ,Only in Brahmi Dic,
මිතිය,Only in Brahmi Dic,
මිතෙ,Only in Brahmi Dic,
මිතෙන,Only in Brahmi Dic,
මිනමතහ,Only in Brahmi Dic,
මිලක,Only in Brahmi Dic,
මුකලු,Only in Brahmi Dic,
මුරිඩි,Only in Brahmi Dic,
මුලගුතශ,Only in Brahmi Dic,
මුලදෙවශ,Only in Brahmi Dic,
මුලශොම,Only in Brahmi Dic,
මෙ,Only in Brahmi Dic,
මෙගලි,Only in Brahmi Dic,
මෙළ,Only in Brahmi Dic,
යක,Only in Brahmi Dic,
යග,Only in Brahmi Dic,
යලි,Only in Brahmi Dic,
යවවවික,Only in Brahmi Dic,
යශදය,Only in Brahmi Dic,
යශදෙවහ,Only in Brahmi Dic,
යශොපලශ,Only in Brahmi Dic,
යශොපලහ,Only in Brahmi Dic,
යශොබල,Only in Brahmi Dic,
යශ‌ොපලහ,Only in Brahmi Dic,
යසිස,Only in Brahmi Dic,
යසොපල,Only in Brahmi Dic,
යහපල,Only in Brahmi Dic,
යහශිනි,Only in Brahmi Dic,
යෙසමගෙ,Only in Brahmi Dic,
යෙසමඝ,Only in Brahmi Dic,
ර,Only in Brahmi Dic,
රක,Only in Brahmi Dic,
රකිත,Only in Brahmi Dic,
රකිතගමියශි,Only in Brahmi Dic,
රකිතශ,Only in Brahmi Dic,
රකිතහ,Only in Brahmi Dic,
රකීත,Only in Brahmi Dic,
රජ,Only in Brahmi Dic,
රජහ,Only in Brahmi Dic,
රජහි,Only in Brahmi Dic,
රජිකහි,Only in Brahmi Dic,
රඣපුත,Only in Brahmi Dic,
රඣශ,Only in Brahmi Dic,
රඣශමණිකරශෙ,Only in Brahmi Dic,
රඣශි,Only in Brahmi Dic,
රඣහ,Only in Brahmi Dic,
රඣහි,Only in Brahmi Dic,
රඣියශි,Only in Brahmi Dic,
රඣියහි,Only in Brahmi Dic,
රන,Only in Brahmi Dic,
රම,Only in Brahmi Dic,
රමඣට,Only in Brahmi Dic,
රමණි,Only in Brahmi Dic,
රමදතය,Only in Brahmi Dic,
රමය,Only in Brahmi Dic,
රමශ,Only in Brahmi Dic,
රයහ,Only in Brahmi Dic,
රයෙ,Only in Brahmi Dic,
රැකි,Only in Brahmi Dic,
රිතය,Only in Brahmi Dic,
රුගය,Only in Brahmi Dic,
රුප,Only in Brahmi Dic,
රුපදක,Only in Brahmi Dic,
රුවලය,Only in Brahmi Dic,
රෙටහ,Only in Brahmi Dic,
රෙත,Only in Brahmi Dic,
රෙතය,Only in Brahmi Dic,
රෙවතහ,Only in Brahmi Dic,
රෙවති,Only in Brahmi Dic,
රොණිගුතශ,Only in Brahmi Dic,
රොණිය,Only in Brahmi Dic,
රොහනි,Only in Brahmi Dic,
ලක,Only in Brahmi Dic,
ලචි,Only in Brahmi Dic,
ලඣක,Only in Brahmi Dic,
ලඣකශ,Only in Brahmi Dic,
ලඪකෙ,Only in Brahmi Dic,
ලපන,Only in Brahmi Dic,
ලබෙ,Only in Brahmi Dic,
ලය,Only in Brahmi Dic,
ලශ,Only in Brahmi Dic,
ලිණි,Only in Brahmi Dic,
ලිණෙ,Only in Brahmi Dic,
ලිණ‌ෙ,Only in Brahmi Dic,
ලිය,Only in Brahmi Dic,
ලෙණශ,Only in Brahmi Dic,
ලෙණශි,Only in Brahmi Dic,
ලෙණහ,Only in Brahmi Dic,
ලෙණහි,Only in Brahmi Dic,
ලෙණ‌,Only in Brahmi Dic,
ලෙණ‌ෙ,Only in Brahmi Dic,
ලෙනශි,Only in Brahmi Dic,
ලොකෙය,Only in Brahmi Dic,
ලොණාපි,Only in Brahmi Dic,
ල‌ෙණ‌ෙ,Only in Brahmi Dic,
ල‌ෙන‌ෙ,Only in Brahmi Dic,
වච,Only in Brahmi Dic,
වජිරය,Only in Brahmi Dic,
වඩමනගම,Only in Brahmi Dic,
වණිච,Only in Brahmi Dic,
වණිඣන,Only in Brahmi Dic,
වනකගමිය,Only in Brahmi Dic,
වනිච,Only in Brahmi Dic,
වපි,Only in Brahmi Dic,
වපිය,Only in Brahmi Dic,
වමකරක,Only in Brahmi Dic,
වරලි,Only in Brahmi Dic,
වරලිය,Only in Brahmi Dic,
වරුණදත,Only in Brahmi Dic,
වරෙ,Only in Brahmi Dic,
වවි,Only in Brahmi Dic,
වවිය,Only in Brahmi Dic,
වශක,Only in Brahmi Dic,
වශකණි,Only in Brahmi Dic,
වශබස,Only in Brahmi Dic,
වශශ,Only in Brahmi Dic,
වශි,Only in Brahmi Dic,
වශික,Only in Brahmi Dic,
වශිකශ,Only in Brahmi Dic,
වශිත,Only in Brahmi Dic,
වශුහ,Only in Brahmi Dic,
වස,Only in Brahmi Dic,
වසවසිකෙ,Only in Brahmi Dic,
වහණක,Only in Brahmi Dic,
වහබ,Only in Brahmi Dic,
වහලිය,Only in Brahmi Dic,
වහිකෙ,Only in Brahmi Dic,
වහිටි,Only in Brahmi Dic,
වහිඩි,Only in Brahmi Dic,
වළ,Only in Brahmi Dic,
වාපර,Only in Brahmi Dic,
වාබර,Only in Brahmi Dic,
වාවී,Only in Brahmi Dic,
විණුය,Only in Brahmi Dic,
විණුහ,Only in Brahmi Dic,
විතනගරහි,Only in Brahmi Dic,
විනය,Only in Brahmi Dic,
විනයදර,Only in Brahmi Dic,
විම,Only in Brahmi Dic,
විමන,Only in Brahmi Dic,
විය,Only in Brahmi Dic,
වියග,Only in Brahmi Dic,
වියගහ,Only in Brahmi Dic,
විලගමෙ,Only in Brahmi Dic,
විශකය,Only in Brahmi Dic,
විශති,Only in Brahmi Dic,
විශදෙව,Only in Brahmi Dic,
විශදෙවශ,Only in Brahmi Dic,
විශදෙවහ,Only in Brahmi Dic,
විශපලොක,Only in Brahmi Dic,
විශර,Only in Brahmi Dic,
විශරෙ,Only in Brahmi Dic,
විහකහ,Only in Brahmi Dic,
විහර,Only in Brahmi Dic,
විහරහි,Only in Brahmi Dic,
විහරිය,Only in Brahmi Dic,
විහරෙ,Only in Brahmi Dic,
වීඣිතශෙනශ,Only in Brahmi Dic,
වුදික,Only in Brahmi Dic,
වෙග,Only in Brahmi Dic,
වෙජ,Only in Brahmi Dic,
වෙඣ,Only in Brahmi Dic,
වෙටිගොපක,Only in Brahmi Dic,
වෙදදශ,Only in Brahmi Dic,
වෙපුලි,Only in Brahmi Dic,
වෙබලිය,Only in Brahmi Dic,
වෙරුමකන,Only in Brahmi Dic,
වෙලහ,Only in Brahmi Dic,
වෙලුය,Only in Brahmi Dic,
වෙලුශ,Only in Brahmi Dic,
වෙලුශුමනශ,Only in Brahmi Dic,
වෙශ,Only in Brahmi Dic,
වෙශමණ,Only in Brahmi Dic,
වෙශශ,Only in Brahmi Dic,
වෙශහ,Only in Brahmi Dic,
වෙස,Only in Brahmi Dic,
වෙසාය,Only in Brahmi Dic,
වෙළහ,Only in Brahmi Dic,
වොහර,Only in Brahmi Dic,
ශගත,Only in Brahmi Dic,
ශගමිතශ,Only in Brahmi Dic,
ශගයමතහ,Only in Brahmi Dic,
ශගර,Only in Brahmi Dic,
ශගශ‌,Only in Brahmi Dic,
ශඝයෙ,Only in Brahmi Dic,
ශඣ,Only in Brahmi Dic,
ශතක,Only in Brahmi Dic,
ශතඩ,Only in Brahmi Dic,
ශතෙන,Only in Brahmi Dic,
ශදඑමඩන,Only in Brahmi Dic,
ශදන,Only in Brahmi Dic,
ශදනහ,Only in Brahmi Dic,
ශදයෙ,Only in Brahmi Dic,
ශදිවිහිර,Only in Brahmi Dic,
ශදොය,Only in Brahmi Dic,
ශනෙ,Only in Brahmi Dic,
ශපතිකෙ,Only in Brahmi Dic,
ශබහ,Only in Brahmi Dic,
ශබිලිය,Only in Brahmi Dic,
ශමණ,Only in Brahmi Dic,
ශමණකශ,Only in Brahmi Dic,
ශමණකහ,Only in Brahmi Dic,
ශමණයෙ,Only in Brahmi Dic,
ශමණිය,Only in Brahmi Dic,
ශමතපශදිකෙ,Only in Brahmi Dic,
ශමිකශ,Only in Brahmi Dic,
ශමිදතය,Only in Brahmi Dic,
ශමුද,Only in Brahmi Dic,
ශමුදය,Only in Brahmi Dic,
ශමුදශ,Only in Brahmi Dic,
ශයුතක,Only in Brahmi Dic,
ශලහ,Only in Brahmi Dic,
ශලිවයශි,Only in Brahmi Dic,
ශව,Only in Brahmi Dic,
ශවිටදතහ,Only in Brahmi Dic,
ශවිනිය,Only in Brahmi Dic,
ශවෙර,Only in Brahmi Dic,
ශවෙරය,Only in Brahmi Dic,
ශශි,Only in Brahmi Dic,
ශශිරිකහ,Only in Brahmi Dic,
ශහශ,Only in Brahmi Dic,
ශාල,Only in Brahmi Dic,
ශිගිණික,Only in Brahmi Dic,
ශිණහ,Only in Brahmi Dic,
ශිතගුහ,Only in Brahmi Dic,
ශිතගුහෙ,Only in Brahmi Dic,
ශිදතශ,Only in Brahmi Dic,
ශිදතහ,Only in Brahmi Dic,
ශිදශ,Only in Brahmi Dic,
ශිම,Only in Brahmi Dic,
ශිරිගුතහ,Only in Brahmi Dic,
ශිරිපලිය,Only in Brahmi Dic,
ශිරිලෙණෙ,Only in Brahmi Dic,
ශිල,Only in Brahmi Dic,
ශිලපටනි,Only in Brahmi Dic,
ශිලය,Only in Brahmi Dic,
ශිලවිජයහ,Only in Brahmi Dic,
ශිවගුත,Only in Brahmi Dic,
ශිවගුතහ,Only in Brahmi Dic,
ශිවනබුතිය,Only in Brahmi Dic,
ශිවය,Only in Brahmi Dic,
ශිවලය,Only in Brahmi Dic,
ශිවි,Only in Brahmi Dic,
ශිවික,Only in Brahmi Dic,
ශිවෙන,Only in Brahmi Dic,
ශිශපණෙ,Only in Brahmi Dic,
ශිහපණෙ,Only in Brahmi Dic,
ශුග,Only in Brahmi Dic,
ශුඣගය,Only in Brahmi Dic,
ශුඣතය,Only in Brahmi Dic,
ශුද,Only in Brahmi Dic,
ශුනකතහ,Only in Brahmi Dic,
ශුබහ,Only in Brahmi Dic,
ශුම,Only in Brahmi Dic,
ශුමනකශ,Only in Brahmi Dic,
ශුමනදත,Only in Brahmi Dic,
ශුමනදෙවශ,Only in Brahmi Dic,
ශුමනබුතිය,Only in Brahmi Dic,
ශුමය,Only in Brahmi Dic,
ශුමරහශ,Only in Brahmi Dic,
ශුමිතහ,Only in Brahmi Dic,
ශුරකිත,Only in Brahmi Dic,
ශුරතිශහ,Only in Brahmi Dic,
ශුරහ,Only in Brahmi Dic,
ශුරිගුත,Only in Brahmi Dic,
ශුරිදහ,Only in Brahmi Dic,
ශුරිශ,Only in Brahmi Dic,
ශුවිශක,Only in Brahmi Dic,
ශෙන,Only in Brahmi Dic,
ශෙනපති,Only in Brahmi Dic,
ශෙනපිති,Only in Brahmi Dic,
ශෙනපිතිය,Only in Brahmi Dic,
ශෙනශනෙ,Only in Brahmi Dic,
ශොණ,Only in Brahmi Dic,
ශොණුතර,Only in Brahmi Dic,
ශොදයෙ,Only in Brahmi Dic,
ශොනය,Only in Brahmi Dic,
ශොනියගරෙ,Only in Brahmi Dic,
ශොබනශ,Only in Brahmi Dic,
ශොබිකන්,Only in Brahmi Dic,
ශොමදතහ,Only in Brahmi Dic,
ශොමදෙව,Only in Brahmi Dic,
ශොමදෙවශ,Only in Brahmi Dic,
ශොමදෙවහ,Only in Brahmi Dic,
ශොමලිය,Only in Brahmi Dic,
ශොමහ,Only in Brahmi Dic,
ශ‌ෙ,Only in Brahmi Dic,
ශ‌ෙණි,Only in Brahmi Dic,
ශ‌ොණගුත,Only in Brahmi Dic,
ශ‌ොණහ,Only in Brahmi Dic,
සගය,Only in Brahmi Dic,
සගශ,Only in Brahmi Dic,
සගහ,Only in Brahmi Dic,
සගහටය,Only in Brahmi Dic,
සගහ්,Only in Brahmi Dic,
සගිකෙ,Only in Brahmi Dic,
සඝ,Only in Brahmi Dic,
සඝය,Only in Brahmi Dic,
සඝයෙ,Only in Brahmi Dic,
සඝශ,Only in Brahmi Dic,
සඝස,Only in Brahmi Dic,
සතන,Only in Brahmi Dic,
සතස,Only in Brahmi Dic,
සදතුතහ,Only in Brahmi Dic,
සදනහ,Only in Brahmi Dic,
සදනෙන,Only in Brahmi Dic,
සදයශ,Only in Brahmi Dic,
සදිවිහරි,Only in Brahmi Dic,
සමණයෙ,Only in Brahmi Dic,
සමණිය,Only in Brahmi Dic,
සමණ‌ෙ,Only in Brahmi Dic,
සමතබද,Only in Brahmi Dic,
සමනීය,Only in Brahmi Dic,
සමුද,Only in Brahmi Dic,
සමුදගුතශ,Only in Brahmi Dic,
සය,Only in Brahmi Dic,
සලකහ,Only in Brahmi Dic,
සලහ,Only in Brahmi Dic,
සව,Only in Brahmi Dic,
සහථකෙ,Only in Brahmi Dic,
සි,Only in Brahmi Dic,
සික,Only in Brahmi Dic,
සිටවිය,Only in Brahmi Dic,
සිතෙ,Only in Brahmi Dic,
සිද,Only in Brahmi Dic,
සිදවිය,Only in Brahmi Dic,
සිද්ධම්,Only in Brahmi Dic,
සිදිනහ,Only in Brahmi Dic,
සිධ,Only in Brahmi Dic,
සිධම්,Only in Brahmi Dic,
සිධවිය,Only in Brahmi Dic,
සිරලය,Only in Brahmi Dic,
සිව,Only in Brahmi Dic,
සිවය,Only in Brahmi Dic,
සිවයහ,Only in Brahmi Dic,
සිවලිය,Only in Brahmi Dic,
සිවහ,Only in Brahmi Dic,
සිවික,Only in Brahmi Dic,
සිහස,Only in Brahmi Dic,
සුඣතශ,Only in Brahmi Dic,
සුතත,Only in Brahmi Dic,
සුදශනෙ,Only in Brahmi Dic,
සුදසනෙ,Only in Brahmi Dic,
සුපටම,Only in Brahmi Dic,
සුමන,Only in Brahmi Dic,
සුමනගුතශ,Only in Brahmi Dic,
සුමනය,Only in Brahmi Dic,
සුමහ,Only in Brahmi Dic,
සෙන,Only in Brahmi Dic,
සොඩකළහ,Only in Brahmi Dic,
සොණ,Only in Brahmi Dic,
සොණය,Only in Brahmi Dic,
සොණහ,Only in Brahmi Dic,
සොණුතරහ,Only in Brahmi Dic,
හකුලවිය,Only in Brahmi Dic,
හගරහ,Only in Brahmi Dic,
හඣයහ,Only in Brahmi Dic,
හටයෙ,Only in Brahmi Dic,
හණ,Only in Brahmi Dic,
හණෙයහ,Only in Brahmi Dic,
හත,Only in Brahmi Dic,
හදනකහ,Only in Brahmi Dic,
හදනහ,Only in Brahmi Dic,
හදනෙ,Only in Brahmi Dic,
හමි,Only in Brahmi Dic,
හමික,Only in Brahmi Dic,
හමුදහ,Only in Brahmi Dic,
හරිටිමතහ,Only in Brahmi Dic,
හරුමස,Only in Brahmi Dic,
හරුමහ,Only in Brahmi Dic,
හලණ,Only in Brahmi Dic,
හාමිකහ,Only in Brahmi Dic,
හි,Only in Brahmi Dic,
හිතන,Only in Brahmi Dic,
හිනකඩක,Only in Brahmi Dic,
හුජතය,Only in Brahmi Dic,
හුම,Only in Brahmi Dic,
හුමක,Only in Brahmi Dic,
හුමන,Only in Brahmi Dic,
හුමනය,Only in Brahmi Dic,
හුමනහ,Only in Brahmi Dic,
හොණහ,Only in Brahmi Dic,
